Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
"                  """,47.பாதையில் பதிந்த அடிகள்(கௌரா பதிப்பகக் குழுமம்),,,,தமிழ்,240,கௌரா பதிப்பகக் குழுமம்,-,நாவல்,-,200,-,paperback
"                  """,48.இந்திய விடுதலைப்போரில் பெண்கள்,,,,தமிழ்,82,நேஷனல் புக் டிரஸ்ட்,-,நாவல்,-,10,-,paperback
"                  """,49.குறிஞ்சித் தேன்(பாரி நிலையம்),,,,தமிழ்,-,பாரி நிலையம்,-,நாவல்,-,170,-,paperback
"                  """,50.கோடுகளும் கோலங்களும்,,,,தமிழ்,-,பாரி நிலையம்,-,நாவல்,-,85,-,paperback
"                  """,51.வனதேவியின் மைந்தர்கள்,,,,தமிழ்,-,பாரி நிலையம்,-,நாவல்,-,80,-,paperback
"                  """,52.இராஜம் கிருஷ்ணன் அவர்களின் பெண்ணிய சிந்தனைகள் (தொகுதி 2),,,,தமிழ்,488,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,-,பெண்கள்,250,-,paperback
"                  """,53.இராஜம் கிருஷ்ணன் அவர்களின் பெண்ணிய சிந்தனைகள் (தொகுதி 1),,,,தமிழ்,488,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,-,பெண்கள்,250,-,paperback
"                  """,54.பெண் விடுதலை,,,,தமிழ்,224,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,-,பெண்கள்,110,-,paperback
"                  """,55.சேற்றில் மனிதர்கள்,,,,தமிழ்,304,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,கட்டுரை,வேளாண்மை,150,-,paperback
"                  """,56.குறிஞ்சித் தேன்,,,,தமிழ்,368,தமிழ்க் குடிஅரசுப் பதிப்பகம்,-,நாவல்,-,175,-,paperback
"                  """,57.இந்திய சமுதாய வரலாற்றில் பெண்மை,,,,தமிழ்,-,தமிழ்ப் புத்தகாலயம் - தாகம்,-,கட்டுரை,-,70,-,paperback
"                  """,58.குறிஞ்சித்தேன்,,,,தமிழ்,-,அமராவதி,-,-,-,175,-,paperback
"                  """,59.வேருக்கு நீர்,,,,தமிழ்,-,அமராவதி,-,நாவல்,-,390,-,paperback
Translator,60.பீகார் மாநில நாட்டுக் கதைகள்,பி.ஸி.ராய் சௌத்ரி,ராஜம் கிரஷ்ணன்,,தமிழ்,188,சாகித்திய அகாடெமி,1994,"சிறுகதை, மொழிபெயர்ப்பு",நாட்டாரியல்,65,8172016441,paperback
சரண்குமார் லிம்பாலே,1.கும்பல்,,ம. மதிவண்ணன்,,தமிழ்,-,கருப்புப் பிரதிகள்,2024,நாவல்,-,500,9789395256568,paperback
"                            """,2.ஓலம்,,ம. மதிவண்ணன்,,தமிழ்,-,கருப்புப் பிரதிகள்,2021,நாவல்,தலித்தியம்,240,-,paperback
"                            """,3.தலித் பார்ப்பனன்,,ம. மதிவண்ணன்,,தமிழ்,118,கருப்புப் பிரதிகள்,2016,சிறுகதை,"சமூக நீதி,தலித்தியம்",120,-,paperback
"                            """,4.அனார்யா: நாதியற்றவன்,,எஸ். பாலச்சந்திரன்,,தமிழ்,181,நியூசெஞ்சுரி புக் ஹவுஸ்,2012,"மொழிபெயர்ப்பு,தன்வரலாறு",தலித்தியம்,130,9788123420653,paperback
"                            """,5.தலித் இலக்கியம் : விடுதலையின் திசைகள்,,அன்புசெல்வம்,,தமிழ்,216,விடியல்,-,கட்டுரை,தலித்தியம்,100,-,paperback
ம. மதிவண்ணன்,1.சக்கிலியர் வரலாறு,,,,தமிழ்,-,கருப்புப் பிரதிகள்,2023,"கட்டுரை,வரலாறு",விளிம்புநிலை மக்கள்,370,9789395256124,paperback
