      Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
கந்தர்வன்,1.அப்பாவும் அம்மாவும்,,,,,தமிழ் ,152,அன்னம் - அகரம் பதிப்பகம்,"2,003",சிறுகதை,-,70,-,Paperback 
"                                     """,2.கந்தர்வன் கதைகள்,,,,தொகுப்பு: பவா. செல்லத்துரை,தமிழ் ,696,வம்சி புக்ஸ்,"2,012",சிறுகதை,-,750,9789380545745,Paperback 
"                                     """,3.கந்தர்வன்: தேர்ந்தெடுத்த சிறுகதைகள்,,,,தொகுப்பு: ந. முருகேச பாண்டியன்,தமிழ் ,-,டிஸ்கவரி புக் பேலஸ்,"2,019",சிறுகதை,-,150,9789386555878,Paperback 
"                                     """,4.கந்தர்வன் கவிதைகள்,,,,-,தமிழ் ,232,பாரதி புத்தகாலயம்,"2,015","கவிதை,",-,200,9789384421656,Paperback 
"                                     """,5.சீவன்,,,,தொகுப்பு: ச. தமிழ்ச்செல்வன்,தமிழ் ,80,பாரதி புத்தகாலயம்,"2,015",சிறுகதை,-,60,9789385377877,Paperback 
"                                     """,6.கந்தர்வன் சிறுகதைகள்,,,,-,தமிழ் ,551,ரிதம் வெளியீடு,"2,023",சிறுகதை,-,350,9789393724724,Paperback 
,,,,,,,,,,,,,,
அழகிய பெரியவன் ,1.படிகப் பாடல்,,,,-,தமிழ் ,148,பரிசல்,"2,025",கவிதை,-,170,9788120000000,Paperback 
"                                     """,2.அழகிய பெரியவன் குறுநாவல்கள்,,,,-,தமிழ் ,-,நீலம் பதிப்பகம்,"2,024",நாவல்,-,200,9789390000000,Paperback 
"                                     """,3.மீள்கோணம்,,,,-,தமிழ் ,199,கருப்புப் பிரதிகள்,"2,024",கட்டுரை,"தலித்தியம்,இலக்கியம்",210,-,Paperback 
"                                     """,4.தகப்பன் கொடி,,,,-,தமிழ் ,246,நீலம் பதிப்பகம்,"2,023",நாவல்,-,300,9789390000000,Paperback 
"                                     """,5.வல்லிசை,,,,-,தமிழ் ,384,நீலம் பதிப்பகம்,"2,023",நாவல்,-,470,9789390000000,Paperback 
