           Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
ஜனநேசன்,1.உருமாற்றம்,-,-,-,,தமிழ்,-,நன்னூல் பதிப்பகம்,2024,சிறுகதை,-,200,9789394414624,paperback 
"""",2.சொல்லப்படாத கதைகள்,-,-,-,,தமிழ்,96,பாரதி புத்தகாலயம்,2023,சிறுகதை,-,110,-,paperback 
"""",3.ஏலோ…லம்,-,-,-,,தமிழ்,-,பாரதி புத்தகாலயம்,2022,நாவல்,-,360,-,paperback 
"""",4.காத்திருப்பு,-,-,-,,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,2022,,-,150,-,paperback 
"""",5.காரணம் அறிகிலார்,-,-,-,,தமிழ்,-,பாரதி புத்தகாலயம்,2020,சிறுகதை,-,135,-,paperback 
"""",6.கண்களை விற்று,-,-,-,,தமிழ்,128,சந்தியா பதிப்பகம்,2014,  சிறுகதை,-,90,9789381343838, paperback 
"""",7.கந்தர்வன்,-,-,-,,தமிழ்,112,சாகித்திய அகாடெமி,-,வாழ்க்கை வரலாறு,-,50,9788126048311,paperback 
"""",8.கே. முத்தையாவின் வாழ்வும் பணியும்,-,-,-,,தமிழ்,48,பாரதி புத்தகாலயம்,-,வாழ்க்கை வரலாறு,-,20,9788189909871,paperback 
"""",9.புத்திக் கொள்முதல்,-,-,-,,தமிழ்,-,பாரதி புத்தகாலயம்,-,சிறுகதை,-,90,-,paperback 
"""",10.மனப்பிசைவு,-,-,-,,தமிழ்,-,நன்னூல் பதிப்பகம்,-,சிறுகதை,-,225,9789394414563,paperback 
"""",11.மின்னுவதெல்லாம்,-,-,-,,தமிழ்,-,நன்னூல் பதிப்பகம்,-,நாவல்,-,150,9789394414532,paperback 
,,,,,,,,,,,,,,
குமாரநந்தன்,1.மகா மாயா,-,-,-,,தமிழ்,-,காலச்சுவடு,2023,சிறுகதை,-,340,-,paperback 
"""",2.நகரப் பாடகன்,-,-,-,,தமிழ்,-,காலச்சுவடு,2018,சிறுகதை,-,225,-,paperback 
"""",3.பூமியெங்கும் பூரணியின் நிழல்,-,-,-,,தமிழ்,144,காலச்சுவடு,2014,சிறுகதை,-,125,9789382033400,paperback 
,,,,,,,,,,,,,,
ஆதவன் தீட்சண்யா,1.ஆதவன் தீட்சண்யா கவிதைகள்,-,-,-,,தமிழ்,-,சந்தியா பதிப்பகம்,2024,கவிதை,-,155,-,paperback 
"""",2.அலைமிகு கணங்கள்,-,-,-,,தமிழ்,-,நீலம் பதிப்பகம்,2023,"கட்டுரை,நேர்காணல்",-,180,-,paperback 
"""",3.லிபரல் பாளையத்து கதைகள்,-,-,-,,தமிழ்,-,நீலம் பதிப்பகம்,2023,சிறுகதை,தலித்தியம்,200,-,paperback 
"""",4.கடுங்காலத்தின் கதைகள்,-,-,-,,தமிழ்,-,கருப்புப் பிரதிகள்,2021,சிறுகதை,-,100,-,paperback 
"""",5.ஓசூர் எனப்படுவது யாதெனின்,-,-,-,,தமிழ்,-,சந்தியா பதிப்பகம்,2020,கட்டுரை,தமிழ்நாடு,110,-,paperback 
"""",6.எஞ்சிய சொல்,-,-,-,,தமிழ்,-,சந்தியா பதிப்பகம்,2017,கட்டுரை,இலக்கியம்,260,-,paperback 
"""",7.நான் ஒரு மநுவிரோதி,-,-,-,,தமிழ்,-,சந்தியா பதிப்பகம்,2017,நேர்காணல்,-,250,-,paperback 
"""",8.மீசை என்பது வெறும் மயிர்,-,-,-,,தமிழ்,176,சந்தியா பதிப்பகம்,2017,கட்டுரை,-,200,9789381343982,paperback 
"""",9.கடவுளுக்கும் முன்பிருந்தே உலகம் இருக்கிறது,-,-,-,,தமிழ்,112,நூல் வனம்,2016,கட்டுரை,-,80,-,paperback 
"""",10.மிச்சமிருக்கும் ஒன்பது விரல்கள்,-,-,-,,தமிழ்,56,சந்தியா பதிப்பகம்,2016,கவிதை,-,60,-,paperback 
"""",11.ஒசூர் எனப்படுவது யாதெனின்...,-,-,-,,தமிழ்,100,மலைகள்,2014,கட்டுரை,தமிழ்நாடு,85,-,paperback 
"""",12.நீங்கள் சுங்கச்சாவடியில் நின்று கொண்டிருக்கிறீர்கள்,-,-,-,,தமிழ்,112,சந்தியா பதிப்பகம்,2012,சிறுகதை,-,135,9789384915773,paperback 
"""",13.ஆகாயத்தில் எறிந்த கல்,-,-,-,,தமிழ்,96,வாசல் பதிப்பகம்,2011,கட்டுரை,"பண்பாடு,வரலாறு",60,-,paperback 
"""",14.சொல்லவே முடியாத கதைகளின் கதை,-,-,ஓடை பொ. துரை அரசன்,,தமிழ்,128,பாரதி புத்தகாலயம்,2010,சிறுகதை,-,130,-,paperback 
"ஆதவன் தீட்சண்யா ,லெ. ஜவகர்நேசன்",15.கல்வி: மாநில உரிமை,-,-,-,,தமிழ்,-,பாரதி புத்தகாலயம்,-,கட்டுரை,கல்வி,60,-,paperback 
,16.லிபரல் பாளையத்துக் கதைகள்,-,-,-,,தமிழ்,-,பாரதி புத்தகாலயம்,-,சிறுகதை,-,90,-,paperback 
,,,,,,,,,,,,,,
பூமணி,1.வெக்கை,-,-,-,,தமிழ்,-,காலச்சுவடு,2021,நாவல்,-,125,-,paperback 
"""",2.பூமணி சிறுகதைகள்,-,-,-,,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2019,சிறுகதை,-,550,-,paperback 
