           Author,                              Title,Orginal Author,Translator ,Editor ,Editor/Orginal Author ,   Language,    No of pages ,             Publisher,Year of Published,              Category ,Subject,    Price,            ISBN,Book format
வல்லிக்கண்ணன் ,26.சுதந்திரப் பறவை,,,,-,தமிழ்,-,அமராவதி,-,-,-,70,-,paperback 
"""",27.ஒரு வீட்டின் கதை,,,,-,தமிழ்,-,அமராவதி,-,-,-,60,-,paperback 
"""",28.ஒரு காதல் கதை,,,,-,தமிழ்,-,கௌரா பதிப்பகக் குழுமம்,2022,சிறுகதை,-,380,-,paperback 
,29.வல்லிக்கண்ணன் சிறுகதைகள்,,,பேரா. சு. சண்முகசுந்தரம்,,தமிழ்,-,காவ்யா பதிப்பகம்,-,சிறுகதை,-,1000,-,paperback 
,30.வல்லிக்கண்ணன் நாவல்கள்,,,பேரா. சு. சண்முகசுந்தரம்,,தமிழ்,-,காவ்யா பதிப்பகம்,-,நாவல்,-,1200,-,paperback 
,31.பாரதிக்குப் பின் தமிழ் உரைநடை வரலாறு,,,,,தமிழ்,-,அமராவதி,-,வரலாறு,-,105,-,paperback 
,,,,,,,,,,,,,,
இந்திரன்,1.திசைகள் நான்கல்ல,,,,-,தமிழ்,-,யாளி பதிவு வெளியீடு,2024,கட்டுரை,சுற்றுலா / பயணம்,250,-,paperback 
"""",2.பிரம்மைகளின் மாளிகை,,,,-,தமிழ்,496,டிஸ்கவரி புக் பேலஸ்,2021,கவிதை ,-,650,9788195326952,hardcover 
"""",3.தமிழ் அழகியல்,,,,-,தமிழ் ,-,யாளி பதிவு வெளியீடு,2021,கட்டுரை,கலை,200,-,paperback 
"""",4.உலகிலேயே சிறந்த புத்தகம்,,,,-,தமிழ் ,-,யாளி பதிவு வெளியீடு,2021,-,-,100,-,paperback 
"""",5.இந்திரன் காலம்,,,,-,தமிழ் ,200,டிஸ்கவரி புக் பேலஸ்,2020,-,-,209,-,paperback 
"""",6.மேசை மேல் செத்த பூனை,,,,-,தமிழ் ,-,யாளி பதிவு வெளியீடு,2019,கவிதை,-,100,-,paperback 
"""",7.கவிதை ஓவியம் சிற்பம் சினிமா,,,,-,தமிழ்,440,டிஸ்கவரி புக் பேலஸ்,2017,கட்டுரை ,"இலக்கியம்,சினிமா, கலை ",500,9789384301484,paperback 
"""",8.சத்யஜித் ரே: சினிமாவும் கலையும்,,,,-,தமிழ் ,128,டிஸ்கவரி புக் பேலஸ்,2017,கட்டுரை ,சினிமா ,150,9789384302191,paperback 
"""",9.தமிழ் அழகியல்,,,,-,தமிழ் ,-,மெய்யப்பன் பதிப்பகம்,-,-,இலக்கியம்,75,-,paperback 
"மொழிப்பெயர்ப்பு:
இந்திரன் ",10.பசித்த தலைமுறை,,,,-,தமிழ்,-,எழுத்து பிரசுரம் ,2023,"சிறுகதை, கட்டுரை கவிதை,மொழிப்பெயர்ப்பு",-,210,-,paperback 
"""",11.பிணத்தை எரித்தே வெளிச்சம்,,,,-,தமிழ் ,-,டிஸ்கவரி புக் பேலஸ்,2018,"கட்டுரை,மொழிபெயர்ப்பு","இலக்கியம்,தலித்தியம்",180,9789386555472,paperback 
"""",12.அறைக்குள் வந்த ஆப்பிரிக்க வானம்,,,,-,தமிழ் ,153,உயிர்மை பதிப்பகம்,2016,"கவிதை,மொழிப்பெயர்ப்பு",-,140,-,paperback 
"""",14.மார்க்ஸ் பார்வையில் இந்தியா,,,,"மூலம்:
இ. எம். எஸ். நம்பூதிரிபாட்",தமிழ்,24,பாரதி புத்தகாலயம் ,-,-,-,20,9789384421168,paperback 
"""",15.இந்திரன் : கலையும் வாழ்வும்,,,,-,தமிழ்,-,நீலம் பதிப்பகம்,2023,-,-,150,9789394591127,paperback 
"""",16.கவிதையின் அரசியல்,,,,-,தமிழ்,-,டிஸ்கவரி புக் பேலஸ்,2022,கட்டுரை,இலக்கியம்,160,-,paperback 
"""",17.தமிழ் அழகியல்,,,,-,தமிழ் ,-,டிஸ்கவரி புக் பேலஸ்,2022,கட்டுரை ,கலை,230,9789391994631,paperback 
"""",18.பிரபஞ்சத்தின் சமையல் குறிப்புப் புத்தகம்,,,,-,தமிழ் ,-,யாளி பதிவு வெளியீடு,2021,கவிதை ,-,200,-,paperback 
"""",19.பீர்பால் அறிவுக்கதைகள்,,,,-,தமிழ்,144,சிக்ஸ்த் சென்ஸ் பப்ளிகேஷன்ஸ்,2004,சிறுவர் கதை,நகைச்சுவை,166,9789382578086,paperback 
"""",20.வாழ்வியல் நீதிக்கொத்து எனும் பஞ்சதந்திர நீதிக் கதைகள்,,,,-,தமிழ்,560,சிக்ஸ்த் சென்ஸ் பப்ளிகேஷன்ஸ்,-,சிறுவர் கதை,-,555,9789382578048,Hardcover
"மொழிப்பெயர்ப்பு:
இந்திரன் ",21.அறைக்குள் வந்த ஆப்பிரிக்க வானம் ,,,,-,தமிழ்,152,யாளி பதிவு வெளியீடு,2019,"சிறுகதை, கட்டுரை,நாடகம்,
கவிதை,மொழிப்பெயர்ப்பு",விளிம்புநிலை மக்கள்,120,-,paperback 
,,,,,,,,,,,,,,
இராம அரங்கண்ணல்,1.நினைவுகள்,,,,-,தமிழ்,-,தளபதி பதிப்பகம்,2022,நாட்குறிப்பு / நினைவுக்குறிப்பு,தமிழக அரசியல்,500,-,paperback 
"""",2.நினைவுகள்,,,,-,தமிழ்,-,சந்தியா பதிப்பகம்,2022,நாட்குறிப்பு / நினைவுக்குறிப்பு,தமிழக அரசியல்,325,-,paperback 
,,,,,,,,,,,,,,
 இராசேந்திர சோழன் ,1.இராசேந்திர சோழன் : தன் வரலாறு (பகுதி 1),,,,-,தமிழ்,-,தமிழினி,2024,தன்வரலாறு,-,450,9788187645214,paperback 
"""",2.சீட்டாட்டக் கலைஞன்,,,,-,தமிழ் ,-,தமிழினி,2022,சிறுகதை,-,180,-,paperback 
"""",3.ராசேந்திர சோழன் கதைகள் (பாகம் 1 & 2),,,,-,தமிழ் ,-,தமிழினி,2022,சிறுகதை,-,1100,-,paperback 
"""",4.மகாலட்சுமி,,,,-,தமிழ்,-,தமிழினி,2021,சிறுகதை,-,210,-,paperback 
"""",5.மயிலம்,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,150,-,paperback 
"""",6.காணிக்கை,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,140,-,paperback 
"""",7.ஈகை,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,140,9788187643524,paperback 
"""",8.வானம் வெளிவாங்கி,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,150,978818764359,paperback 
"""",9.பக்தி மார்க்கம்,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,160,9788187643494,paperback 
"""",10.பரிணாமச் சுவடுகள்,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,150,-,paperback 
"""",11.நிலச்சரிவு,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,160,-,paperback 
"""",12.தனபாக்கியத்தோட ரவ நேர,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,150,-,paperback 
"""",13.கோணல் வடிவங்கள்,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,160,-,paperback 
"""",14.பறிமுதல்,,,,-,தமிழ் ,-,தமிழினி,2021,சிறுகதை,-,150,9788187643579,paperback 
"""",15.இராசேந்திரசோழன்: தேர்ந்தெடுத்த சிறுகதைகள்,,,,"தொகுப்பு:
பா. இரவிக்குமார், தமிழ்மணி , புதுவை சீனு",தமிழ் ,-,டிஸ்கவரி புக் பேலஸ்,2021,சிறுகதை,-,300,-,paperback 
"""",16.சிறகுகள் முளைத்து,,,,-,தமிழ் ,156,தமிழினி,2020,சிறுகதை,-,170,9788187642541,paperback 
"""",17.பகுத்தறிவின் மூடநம்பிக்கைகள்,,,,-,தமிழ் ,-,தமிழினி,2019,கட்டுரை,-,170,-,paperback 
"""",18.காவலர் இல்லம்,,,,-,தமிழ் ,-,தமிழினி,2019,நாவல்,-,230,9788187641995,paperback 
"""",19.இராசேந்திர சோழன் கதைகள்,,,,-,தமிழ் ,976,தமிழினி,2014,சிறுகதை,-,790,-,Hardcover
"""",20.அணு ஆற்றல்: அறிந்ததும் அறியாததும்,,,,-,தமிழ் ,304,அகல் பதிப்பகம்,2011,கட்டுரை,"அறிவியல் / தொழில்நுட்பம், வளர்ச்சி ",225,-,paperback 
"""",21.மொழிக் கொள்கை,,,,-,தமிழ் ,-,தமிழினி,-,கட்டுரை,-,330,-,paperback 
"""",22.தீண்டாமை ஒழிப்பும் தமிழர் ஒற்றுமையும்,,,,-,தமிழ் ,-,தமிழினி,-,கட்டுரை,-,260,-,paperback 
"""",23.தலித்தியம்: நோக்கும் போக்கும்,,,,-,தமிழ் ,-,தமிழினி,-,கட்டுரை,-,180,-,paperback 
"""",24.மார்க்சிய மெய்யியல்,,,,-,தமிழ் ,420,தமிழினி,-,கட்டுரை,-,550,-,paperback 
"""",25.21ஆவது அம்சம்,,,,-,தமிழ் ,-,தமிழினி,-,நாவல்,-,130,-,paperback 
"""","26.இராசேந்திரசோழன் கதைகள் முழுத் தொகுதி 
(10 நூல்கள்)",,,,-,தமிழ் ,-,தமிழினி,-,சிறுகதை,-,1450,-,-
"""",27.பதியம்,,,,,தமிழ்,-,தமிழினி,-,நாவல்,-,240,-,paperback 
"""",28.பரிதாப எழுத்தாளர் திரு பரதேசியார் பண்டித புராணம்,,,,,தமிழ்,-,தமிழினி,-,நாவல்,-,220,-,paperback 
"""",29.எட்டு கதைகள்,,,,,தமிழ்,-,வம்சி புக்ஸ்,-,சிறுகதை,-,100,9789384598082,paperback 
"""","30.திராவிடம், மார்க்சியம், தமிழ்த் தேசியம்",,,,,தமிழ்,-,தமிழினி,-,கட்டுரை,-,90,-,paperback 
"""",31.சாதி ஒழிப்பு,,,,,தமிழ்,-,தமிழினி,-,கட்டுரை,-,150,-,paperback 
,,,,,,,,,,,,,,
அசோகமித்திரன் 73,1.ஐந்நூறு கோப்பைத் தட்டுகள்,,,,-,தமிழ் ,-,காலச்சுவடு,2024,சிறுகதை,-,340,-,paperback 
"""",2.திரைக்குப் பின்,,,,-,தமிழ் ,344,காலச்சுவடு,2024,கட்டுரை,சினிமா,390,9788119034512,paperback 
"""","3.ஆடிய ஆட்டமென்ன: 
கிரிக்கெட் பற்றிய அனுபவப் பதிவுகள்",,,,-,தமிழ் ,-,காலச்சுவடு,2023,கட்டுரை,விளையாட்டு,100,9788195978168,paperback 
"""",4.ஒரு பார்வையில் சென்னை நகரம் ,,,,-,தமிழ் ,120,காலச்சுவடு,2023,கட்டுரை,தமிழ்நாடு,150,9788195904853,paperback 
"""",5.படைப்புக்கலை,,,,-,தமிழ் ,-,காலச்சுவடு,2021,கட்டுரை,இலக்கியம்,180,9789391093068,paperback 
"""",6.சில ஆசிரியர்கள் சில நூல்கள்,,,,-,தமிழ் ,-,காலச்சுவடு,2021,கட்டுரை,இலக்கியம்,180,9789391093327,paperback 
"""",7.ஆகாயத்தாமரை,,,,-,தமிழ் ,160,காலச்சுவடு,2019,நாவல்,-,190,-,paperback 
"""",8.இன்று,,,,-,தமிழ் ,96,காலச்சுவடு,2019,நாவல்,-,125,9789388631013,paperback 
"""",9.இந்தியா 1944-48,,,,-,தமிழ் ,-,காலச்சுவடு,2018,நாவல்,-,275,-,paperback 
"""",10.மணல்,,,,-,தமிழ் ,88,காலச்சுவடு,2017,நாவல்,-,120,9789386820075,paperback 
"""",11.தண்ணீர்,,,,-,தமிழ் ,144,காலச்சுவடு,2017,நாவல்,பெண்கள்,190,9789386820397,paperback 
"""",12.கரைந்த நிழல்கள்,,,,-,தமிழ் ,168,காலச்சுவடு,2017,நாவல்,-,220,9789386820419,paperback 
"""",13.அமானுஷ்ய நினைவுகள்,,,,-,தமிழ் ,88,காலச்சுவடு,2017,சிறுகதை,-,90,9789352441013,paperback 
"""",14.செகந்திராபாத் கதைகள்,,,,-,தமிழ் ,288,கவிதா பப்ளிகேஷன்,2016,சிறுகதை,-,200,9788183455275,paperback 
"""",15.மணல்,,,,-,தமிழ் ,368,நற்றிணை பதிப்பகம்,2016,நாவல்,-,300,-,paperback 
"""",16.படைப்பாளிகள் உலகம்,,,,-,தமிழ் ,-,நற்றிணை பதிப்பகம்,2016,கட்டுரை,இலக்கியம்,190,-,paperback 
"""",17.இருட்டிலிருந்து வெளிச்சம்,,,,-,தமிழ் ,287,நற்றிணை பதிப்பகம்,2016,கட்டுரை,சினிமா,240,9788192366814,paperback 
"""",18.அசோகமித்திரன் சிறுகதைகள்,,,,-,தமிழ் ,1648,காலச்சுவடு,2016,சிறுகதை,-,1975,9789352440146,paperback 
"""",19.அசோகமித்திரன் குறுநாவல்கள்,,,,-,தமிழ் ,624,காலச்சுவடு,2016,நாவல்,-,780,9789352440863,paperback 
"""",20.Chennai City: A Kaliedoscope,,,,"மொழிப்பெயர்ப்பு:
K. S. Subramanian",English ,124,Westland Publications,2015," Essay, Translation",Tamilnadu,250,9789385152351,paperback 
"""",21.விடுதலை,,,,-,தமிழ் ,216,கிழக்கு பதிப்பகம்,2015,நாவல்,-,230,9788184933796,paperback 
"""",22.எரியாத நினைவுகள்,,,,-,தமிழ் ,256,காலச்சுவடு,2015,கட்டுரை,-,325,9789381969892,paperback 
"""",23.வாழ்விலே ஒரு முறை,,,,-,தமிழ் ,264,காலச்சுவடு,2015,சிறுகதை,-,330,9789381969960,paperback 
"""",24.தண்ணீர்,,,,-,தமிழ் ,144,நற்றிணை பதிப்பகம்,2015,நாவல்,-,90,9789382648352,paperback 
"""",25.அழிவற்றது,,,,-,தமிழ் ,120,காலச்சுவடு,2014,சிறுகதை,-,150,9788189359096,paperback 
,26.இந்தியா 1948,,,,,தமிழ்,144,நற்றிணை பதிப்பகம்,2014,நாவல்,-,120,9789382648871,paperback 
,27.குறுக்குவெட்டுகள்,,,,,தமிழ்,176,நற்றிணை பதிப்பகம்,2014,கட்டுரை,-,150,9789382648864,paperback 
,28.காந்தி (தேர்ந்தெடுக்கப்பட்ட சிறுகதைகள்),,,,,தமிழ்,368,நற்றிணை பதிப்பகம்,2014,சிறுகதை,காந்தி,300,9789382648505,paperback 
,29.இரண்டு விரல் தட்டச்சு,,,,,தமிழ்,112,காலச்சுவடு,2014,சிறுகதை,-,125,9789382033868,paperback 
,30.யுத்தங்களுக்கிடையில்...,,,,,தமிழ்,112,காலச்சுவடு,2014,நாவல்,காலனித்துவம் / ஏகாதிபத்தியம்,140,9789382033981,paperback 
,31.மானசரோவர்,,,,,தமிழ்,216,காலச்சுவடு,2014,நாவல்,அறிவியல் / தொழில்நுட்பம்,275,9789382033837,paperback 
