Author,Title,Orginal Author,Translator,Editor,Language,No of pages,Publisher,Year of Published,Category,Subject,Price,ISBN,Book format
"""",3.இன்குலாப் நேர்காணல்கள்,-,-,-,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,2018,-,மார்க்சியம்,260,-,Paperback
"""",4.மானுடக் குரல்: இன்குலாப் நேர்காணல்கள்,-,-,-,தமிழ்,208,தமிழ் அலை,2017,நேர்காணல்,மார்க்சியம்,170,-,Paperback
"""",5.ஒவ்வொரு புல்லையும் பெயர் சொல்லி அழைப்பேன்,-,-,-,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,2017,கவிதை,பிற,600,-,Paperback
"""",6. ஔவை,-,-,-,தமிழ்,120,அன்னம் - அகரம் பதிப்பகம்,2017,நாடகம்,பிற,90,-,Paperback
"""",7. இன்குலாப் நாடகங்கள்,-,-,-,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,2016,நாடகம்,பிற,450,-,Paperback
"""",8. பாலையில் ஒரு சுனை,-,-,-,தமிழ்,200,அன்னம் - அகரம் பதிப்பகம்,2016,சிறுகதை,பிற,160,-,Paperback
"""",9. ஆனால்,-,-,-,தமிழ்,286,அன்னம் - அகரம் பதிப்பகம்,2015,சிறுகதை,பிற,225,-,Paperback
"""",10. காந்தள் நாட்கள்,-,-,-,தமிழ்,143,அன்னம் - அகரம் பதிப்பகம்,2012,சிறுகதை,பிற,130,-,Paperback
"""",11. எதிர்சொல்,-,-,-,தமிழ்,-,அன்னம் - அகரம் பதிப்பகம்,-,-,-,130,-,Paperback
Translation,12. நான் போகும் இடமெல்லாம்,சுபாஷ் முகோபாத்யாய்,இன்குலாப்,-,தமிழ்,68,சாகித்திய அகாடெமி,-,"கவிதை,மொழிபெயர்ப்பு",-,50,8126008385,Paperback
மேலாண்மை பொன்னுச்சாமி,1. மின்சாரப்பூ,-,-,-,தமிழ்,152,ஸ்ரீ செண்பகா பதிப்பகம்,2022,சிறுகதை,-,150,-,Paperback
"""",2. தாய்மதி,-,-,-,தமிழ்,200,வானதி பதிப்பகம்,2010,சிறுகதை,-,65,-,Paperback
"""",3. பூக்கும் மாலை,-,-,-,தமிழ்,224,திருவரசு புத்தக நிலையம்,2007,நாவல்,-,70,-,Paperback
"""",4. உயிர்க்காற்று,-,-,-,தமிழ்,223,வானதி பதிப்பகம்,-,நாவல்,-,70,-,Paperback
"""",5. காகிதம்,-,-,-,தமிழ்,223,திருவரசு புத்தக நிலையம்,-,நாவல்,-,50,-,Paperback
"""",6. மேலாண்மை பொன்னுச்சாமியின் - இனி,-,-,-,தமிழ்,172,திருவரசு புத்தக நிலையம்,-,நாவல்,-,45,-,Paperback
"""",7. சூரிய வேர்வை,-,-,-,தமிழ்,234,திருவரசு புத்தக நிலையம்,-,நாவல்,-,80,-,Paperback
"""",8.பூச்சுமை,-,-,-,தமிழ்,216,திருவரசு புத்தக நிலையம்,-,நாவல்,-,70,-,Paperback
"""",9.முற்றுகை,-,-,-,தமிழ்,268,திருவரசு புத்தக நிலையம்,-,நாவல்,-,85,-,Paperback
ராஜாஜி ராஜகோபாலன்,1.நாராயணபுரம்,-,-,-,தமிழ்,416,டிஸ்கவரி புக் பேலஸ்,2021,நாவல்,பிற,450,-,Paperback
"""",2.ராஜாஜி கட்டுரைகள்,-,-,-,தமிழ்,226,வானதி பதிப்பகம்,2012,கட்டுரை,-,75,-,Paperback
"""",3.கம்பரின் ஐந்து நூல்கள்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,2008,-,இலக்கியம்,45,-,Paperback
"""",4.ஆற்றின் மோகம்,-,-,-,தமிழ்,112,வானதி பதிப்பகம்,2003,சிறுகதை,-,25,-,Paperback
"""",5.ஸோக்ரதர்,-,-,-,தமிழ்,90,வானதி பதிப்பகம்,1971,"கட்டுரை,வரலாறு",-,35,-,Paperback
"""",6.ஆத்ம சிந்தனை,-,-,-,தமிழ்,96,வானதி பதிப்பகம்,1971,கட்டுரை,மெய்யியல்,45,-,Paperback
"""",7.திண்ணை ரசாயனம்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,கட்டுரை,-,20,-,Paperback
"""",8.உண்மைகள் உறங்குவதில்லை,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,-,-,60,-,Paperback
"""",9.ராஜாஜியின் ஜெயில் டைரி,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,"கட்டுரை,நாட்குறிப்பு / நினைவுக்குறிப்பு",-,130,-,Paperback
"""",10.ராஜாஜியின் கருத்துகள்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,கட்டுரை,-,70,-,Paperback
"""",11.பிள்ளையார் காப்பாற்றினார்,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,சிறுகதை,-,35,-,Paperback
"""",12.நிரந்தரச் செல்வம்,-,-,-,தமிழ்,80,வானதி பதிப்பகம்,-,சிறுகதை,-,40,-,Paperback
"""",13.குழந்தைகளுக்கான குட்டிக் கதைகள் - II,-,-,-,தமிழ்,-,வானதி பதிப்பகம்,-,சிறுவர் கதை,-,50,-,Paperback
"""",14ராஜாஜி கதைகள்,-,-,-,தமிழ்,170,வானதி பதிப்பகம்,-,சிறுகதை,-,85,-,Paperback
